Category Name,CategoryID,Product Name,ProductID,Product Image Url,allImageUrls(5<),Product Url,originalPrice($),salePrice($),Commission Rate,Out of Stock Date,Discount,Click url
High Tech Toys,200386159,Programmable RC Robotic Remote Control Intelligent Robot Touch Sensing Action Figure Child Learning Toy Gift,1005002272506680,https://ae01.alicdn.com/kf/H2ea40ee84f204bb89bbbebe6b95a2053c/Programmable-RC-Robotic-Remote-Control-Intelligent-Robot-Touch-Sensing-Action-Figure-Child-Learning-Toy-Gift.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H2ea40ee84f204bb89bbbebe6b95a2053c.jpg,https://ae04.alicdn.com/kf/He3fb71bc0d8a4823adab2392ec2de05eT.jpg,https://ae04.alicdn.com/kf/Hc1dc97c8b90e4af19fe47dbdf2edf7398.jpg,https://ae04.alicdn.com/kf/H7dec9385ad704cc3a1056868f5ef1324A.jpg,https://ae04.alicdn.com/kf/Hf526253cb0fc4d3dbcf69bb116f0c4f0I.jpg,",https://www.aliexpress.com/item/1005002272506680.html,39.69,39.69,45.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A09KoF
High Tech Toys,200386159,Adeept Arduino Compatible DIY 5-DOF Robotic Arm Kit Stem Robot Arm Kit For Arduino UNO R3 For Children Kid Educational Toys Gift,1005001303845755,https://ae01.alicdn.com/kf/H92c5cf144519430b9b0f7c0e0ccc0282f/Adeept-Arduino-Compatible-DIY-5-DOF-Robotic-Arm-Kit-Stem-Robot-Arm-Kit-For-Arduino-UNO.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H92c5cf144519430b9b0f7c0e0ccc0282f.jpg,https://ae04.alicdn.com/kf/H32f04d717399460eb4b00847b29b7a27D.jpg,https://ae04.alicdn.com/kf/Hc703ebd2d6654c00895bc3bc6897f42eJ.jpg,https://ae04.alicdn.com/kf/H554c2de64f1b4ac2a5b38eb46c7240dcA.jpg,https://ae04.alicdn.com/kf/H7ad7530adc864626975336091f4eef89k.jpg,",https://www.aliexpress.com/item/1005001303845755.html,171.20,75.33,8.00%,2098-12-31,56%,https://s.click.aliexpress.com/e/_A9UXw3
High Tech Toys,200386159,Arduno Car 2WD Robot Diy Electronic Kit Robotics Robotics Education  Learn Nano L298N drive For Boy Toys Infrared Remote Control,1005002561954297,https://ae01.alicdn.com/kf/H8ec93e228f164756ba0bdc7c2c4e28b2R/Arduno-Car-2WD-Robot-Diy-Electronic-Kit-Robotics-Robotics-Education-Learn-Nano-L298N-drive-For-Boy.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H8ec93e228f164756ba0bdc7c2c4e28b2R.jpg,https://ae04.alicdn.com/kf/H30fa4d596d2a4bb5b0828b46eaa4f7abb.jpg,https://ae04.alicdn.com/kf/H6b7fbeef4fe043f5b9dd9147ed68a8440.jpg,https://ae04.alicdn.com/kf/H620de6c21b374386a4fd0c9a463c3e63b.jpg,https://ae04.alicdn.com/kf/Hc1d1ab526b254e1187553859987176cfJ.jpg,",https://www.aliexpress.com/item/1005002561954297.html,41.50,41.50,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AdZbzp
High Tech Toys,200386159,Disney 10-hole harmonica children's 10-hole beginner adult polyphonic c tone harmonica kindergarten gift toy,1005002554128178,https://ae01.alicdn.com/kf/Hea5ffc97f22c40b592337bfbf73d2062R/Disney-10-hole-harmonica-children-s-10-hole-beginner-adult-polyphonic-c-tone-harmonica-kindergarten-gift.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hea5ffc97f22c40b592337bfbf73d2062R.jpg,https://ae04.alicdn.com/kf/H39317409842c4d87ab2b75640694d009B.jpg,https://ae04.alicdn.com/kf/H3523c398688c4af9b26a4919d778eb73c.jpg,https://ae04.alicdn.com/kf/H20c4293bf22b4290bd6730d53b8431952.jpg,https://ae04.alicdn.com/kf/Hee1058ef04e5470c871e58dab90fb6688.jpg,",https://www.aliexpress.com/item/1005002554128178.html,19.99,19.99,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_A0bMhH
High Tech Toys,200386159,"New High Tech Toys, Brainlink with Stunt Car, Mindlink Brain Wave Concentration Training APP Games,  Thought Control Detector",4000207545879,https://ae01.alicdn.com/kf/H05a05e737bb84946bdffb3907de126d5H/New-High-Tech-Toys-Brainlink-with-Stunt-Car-Mindlink-Brain-Wave-Concentration-Training-APP-Games-Thought.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H05a05e737bb84946bdffb3907de126d5H.jpg,https://ae04.alicdn.com/kf/Hb4f30072d79a4bacafb74d11412c39fbv.jpg,https://ae04.alicdn.com/kf/H477621b122b8454a90652223746e79a1t.jpg,https://ae04.alicdn.com/kf/H10d6a89731f446169f2992c8c4a7951c9.jpg,https://ae04.alicdn.com/kf/Ha10d46602a654ddfa5ba3983f35b9c6d0.jpg,",https://www.aliexpress.com/item/4000207545879.html,100.82,63.52,11.50%,2098-12-31,37%,https://s.click.aliexpress.com/e/_9IBIGj
High Tech Toys,200386159,RC Robot Dinosaur Intelligent Interactive Smart Toy Electronic Remote Control Tyrannosaurus Collectible Model Gift,1005002288284325,https://ae01.alicdn.com/kf/H295fa9675fb2490ea80864057485c82fx/RC-Robot-Dinosaur-Intelligent-Interactive-Smart-Toy-Electronic-Remote-Control-Tyrannosaurus-Collectible-Model-Gift.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H295fa9675fb2490ea80864057485c82fx.jpg,https://ae04.alicdn.com/kf/H971411c320384c9581e9e74c0216d18cc.jpg,https://ae04.alicdn.com/kf/H532a5a757df444e290f788e6ea31b987R.jpg,https://ae04.alicdn.com/kf/H33626b74b5c94d598e14d5317d6887a18.jpg,https://ae04.alicdn.com/kf/H148e5fa695fb42f280c8af47005d9f23m.jpg,",https://www.aliexpress.com/item/1005002288284325.html,113.07,113.07,45.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_Atxj6x
High Tech Toys,200386159,Racing Game Steering Wheel for PS4 for XBOX ONE 360 PS3 PC for N- SWITCH PC Android Seven In One Steering Wheel Accessories,1005002551809242,https://ae01.alicdn.com/kf/Hc4dbe2f5c6084b3c99dede5a78a16f4dv/Racing-Game-Steering-Wheel-for-PS4-for-XBOX-ONE-360-PS3-PC-for-N-SWITCH-PC.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/Hc4dbe2f5c6084b3c99dede5a78a16f4dv.jpg,https://ae04.alicdn.com/kf/Hd9806734589d46699038382fc2c94c3f0.jpg,https://ae04.alicdn.com/kf/H40b7eca218474b5781f6fedb6456fdeaZ.jpg,https://ae04.alicdn.com/kf/H1384b632ad044af7b296897a32c2d2ecc.jpg,https://ae04.alicdn.com/kf/H982c717dce7e47b099ffa519b43cc0aeO.jpg,",https://www.aliexpress.com/item/1005002551809242.html,64.28,64.28,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9ylPx9
High Tech Toys,200386159,Racing Game Steering Wheel for PS4 for XBOX ONE 360 PS3 PC for N- SWITCH PC Android Seven In One Steering Wheel Accessories,1005002549675707,https://ae01.alicdn.com/kf/H5e3e6277acf845d4bfbf6595b5e559bcE/Racing-Game-Steering-Wheel-for-PS4-for-XBOX-ONE-360-PS3-PC-for-N-SWITCH-PC.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H5e3e6277acf845d4bfbf6595b5e559bcE.jpg,https://ae04.alicdn.com/kf/H46930089b6f941759634d9f9068971cfg.jpg,https://ae04.alicdn.com/kf/Hc92f1d28901e43d3be6a7d368302685bC.jpg,https://ae04.alicdn.com/kf/Hf20770458e0c43a891db9f50d1ee33b58.jpg,https://ae04.alicdn.com/kf/H419d43c2849a4478b8c29f8289f01eccR.jpg,",https://www.aliexpress.com/item/1005002549675707.html,64.28,64.28,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_AFc9XH
High Tech Toys,200386159,10L agricultural drone uav 10kg 4-axis sealed agricultural spraying aircraft with FPV hd camera night light,1005002589822104,https://ae01.alicdn.com/kf/H874f044b5cf14d1eab51c7cc46a6bd5d8/10L-agricultural-drone-uav-10kg-4-axis-sealed-agricultural-spraying-aircraft-with-FPV-hd-camera-night.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H874f044b5cf14d1eab51c7cc46a6bd5d8.jpg,https://ae04.alicdn.com/kf/H3a39e5cbc85c4af5848841f754c80907P.jpg,https://ae04.alicdn.com/kf/H51ec637b772f42138168a4fd369d72c2T.jpg,https://ae04.alicdn.com/kf/H4f32d368cac946d0a962facaea32741bo.jpg,https://ae04.alicdn.com/kf/Hf80a7619e05249b8884aa8393a26daedp.jpg,",https://www.aliexpress.com/item/1005002589822104.html,"3,788.99","3,788.99",8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_APrP51
High Tech Toys,200386159,2.4GHz Remote Control Car 360 °Rotating RC Off Road Drifting Truck Radio Crawler Bubble Machine for Kids Gi,1005002513136467,https://ae01.alicdn.com/kf/H25879fc62b76412cbe6eaafabba27d90x/2-4GHz-Remote-Control-Car-360-Rotating-RC-Off-Road-Drifting-Truck-Radio-Crawler-Bubble-Machine.jpg_220x220.jpg,"https://ae04.alicdn.com/kf/H25879fc62b76412cbe6eaafabba27d90x.jpg,https://ae04.alicdn.com/kf/He1d14534aa1e4824a37155902ae7cad15.jpg,https://ae04.alicdn.com/kf/H8e71159e3ac34d5d880009539ceeac33x.jpg,https://ae04.alicdn.com/kf/H88fa7f28bdc345a399929ab70cc51669M.jpg,https://ae04.alicdn.com/kf/H08cfad2ccc054adf949b02c8085ac8d28.jpg,",https://www.aliexpress.com/item/1005002513136467.html,62.42,62.42,8.00%,2098-12-31,0%,https://s.click.aliexpress.com/e/_9yJNKb
